,Series_reference,Data_value,Suppressed
582,BDCQ.SF1CC2CS,549.739,
583,BDCQ.SF1CC2CS,524.132,
584,BDCQ.SF1CC2CS,516.651,
585,BDCQ.SF1CC2CS,444.847,
586,BDCQ.SF1CC2CS,348.318,
587,BDCQ.SF1CC2CS,503.119,
588,BDCQ.SF1CC2CS,475.924,
589,BDCQ.SF1CC2CS,468.887,
590,BDCQ.SF1CC2CS,490.221,
591,BDCQ.SF1CC2CS,451.072,
592,BDCQ.SF1CC2CS,529.063,
593,BDCQ.SF1CC2CS,512.511,
594,BDCQ.SF1CC2CS,527.968,
595,BDCQ.SF1CC2CS,537.211,
596,BDCQ.SF1CC2CS,547.353,
597,BDCQ.SF1CC2CS,502.576,
598,BDCQ.SF1CC2CS,540.495,
599,BDCQ.SF1CC2CS,490.352,
600,BDCQ.SF1CC2CT,595.045,
601,BDCQ.SF1CC2CT,580.551,
602,BDCQ.SF1CC2CT,572.341,
603,BDCQ.SF1CC2CT,563.569,
604,BDCQ.SF1CC2CT,557.883,
605,BDCQ.SF1CC2CT,555.048,
606,BDCQ.SF1CC2CT,554.297,
607,BDCQ.SF1CC2CT,550.671,
608,BDCQ.SF1CC2CT,548.739,
609,BDCQ.SF1CC2CT,548.518,
610,BDCQ.SF1CC2CT,550.366,
611,BDCQ.SF1CC2CT,544.781,
612,BDCQ.SF1CC2CT,541.273,
613,BDCQ.SF1CC2CT,525.468,
614,BDCQ.SF1CC2CT,499.855,
615,BDCQ.SF1CC2CT,,
616,BDCQ.SF1CC2CT,,
617,BDCQ.SF1CC2CT,,
618,BDCQ.SF1CC2CT,,
619,BDCQ.SF1CC2CT,,
620,BDCQ.SF1CC2CT,,
621,BDCQ.SF1CC2CT,,
622,BDCQ.SF1CC2CT,,
623,BDCQ.SF1CC2CT,,
624,BDCQ.SF1CC2CT,,
625,BDCQ.SF1CC2CT,,
626,BDCQ.SF1CC2CT,,
627,BDCQ.SF1CC2CT,,
628,BDCQ.SF1CC2CT,,
629,BDCQ.SF1CC2CT,,
630,BDCQ.SF1CC3CA,2247.71,
631,BDCQ.SF1CC3CA,2216.005,
632,BDCQ.SF1CC3CA,2201.123,
633,BDCQ.SF1CC3CA,2063.277,
634,BDCQ.SF1CC3CA,2242.174,
635,BDCQ.SF1CC3CA,2279.911,
636,BDCQ.SF1CC3CA,2361.189,
637,BDCQ.SF1CC3CA,2229.447,
